state,action,reward,next_state,done
"4.2017329876680725,-1.2720446134996872,1.0,4.332771742149131,1.7483255346727316,2.0,8.108999516025207,-0.8507949795461286,1.0,8.501197074495225,2.242025618644214,2.0","0.0,0.0",-0.00840645714995869,"4.201754093170166,-1.272030234336853,1.0,4.332780838012695,1.7483441829681396,2.0,8.109020233154297,-0.8507591485977173,1.0,8.501204490661621,2.242063045501709,2.0",0
"4.201754093170166,-1.272030234336853,1.0,4.332780838012695,1.7483441829681396,2.0,8.109020233154297,-0.8507591485977173,1.0,8.501204490661621,2.242063045501709,2.0","0.0,0.0",-0.0033292057958197903,"4.201775550842285,-1.2720147371292114,1.0,4.332789897918701,1.7483614683151245,2.0,8.109040260314941,-0.8507264256477356,1.0,8.501211166381836,2.2420976161956787,2.0",0
"4.201775550842285,-1.2720147371292114,1.0,4.332789897918701,1.7483614683151245,2.0,8.109040260314941,-0.8507264256477356,1.0,8.501211166381836,2.2420976161956787,2.0","0.0,0.0",-0.0025392895472840776,"4.201797008514404,-1.2719985246658325,1.0,4.332798957824707,1.7483779191970825,2.0,8.10905933380127,-0.8506940603256226,1.0,8.50121784210205,2.242131233215332,2.0",0
"4.201797008514404,-1.2719985246658325,1.0,4.332798957824707,1.7483779191970825,2.0,8.10905933380127,-0.8506940603256226,1.0,8.50121784210205,2.242131233215332,2.0","0.0,0.0",-0.002147457115510466,"4.201817989349365,-1.271982192993164,1.0,4.3328070640563965,1.7483952045440674,2.0,8.109078407287598,-0.8506617546081543,1.0,8.50122356414795,2.2421655654907227,2.0",0
"4.201817989349365,-1.271982192993164,1.0,4.3328070640563965,1.7483952045440674,2.0,8.109078407287598,-0.8506617546081543,1.0,8.50122356414795,2.2421655654907227,2.0","0.0,0.0",-0.001903890544715077,"4.201838493347168,-1.2719658613204956,1.0,4.332815647125244,1.748412013053894,2.0,8.109097480773926,-0.850629448890686,1.0,8.501230239868164,2.242199420928955,2.0",0
"4.201838493347168,-1.2719658613204956,1.0,4.332815647125244,1.748412013053894,2.0,8.109097480773926,-0.850629448890686,1.0,8.501230239868164,2.242199420928955,2.0","0.0,0.0",-0.0017535446392864945,"4.201859474182129,-1.2719495296478271,1.0,4.332823753356934,1.7484318017959595,2.0,8.109116554260254,-0.8505970239639282,1.0,8.501236915588379,2.2422330379486084,2.0",0
"4.201859474182129,-1.2719495296478271,1.0,4.332823753356934,1.7484318017959595,2.0,8.109116554260254,-0.8505970239639282,1.0,8.501236915588379,2.2422330379486084,2.0","0.0,0.0",-0.0015368274225075612,"4.201880931854248,-1.2719330787658691,1.0,4.332831859588623,1.7484456300735474,2.0,8.109135627746582,-0.8505657315254211,1.0,8.501243591308594,2.2422664165496826,2.0",0
"4.201880931854248,-1.2719330787658691,1.0,4.332831859588623,1.7484456300735474,2.0,8.109135627746582,-0.8505657315254211,1.0,8.501243591308594,2.2422664165496826,2.0","0.0,0.0",-0.0014486123153501194,"4.201900959014893,-1.2719172239303589,1.0,4.332840442657471,1.7484618425369263,2.0,8.10915470123291,-0.8505340218544006,1.0,8.501250267028809,2.242299795150757,2.0",0
"4.201900959014893,-1.2719172239303589,1.0,4.332840442657471,1.7484618425369263,2.0,8.10915470123291,-0.8505340218544006,1.0,8.501250267028809,2.242299795150757,2.0","0.0,0.0",-0.0013675981451065806,"4.201921463012695,-1.271901249885559,1.0,4.332849025726318,1.7484785318374634,2.0,8.109172821044922,-0.8505021929740906,1.0,8.501255989074707,2.242333173751831,2.0",0
"4.201921463012695,-1.271901249885559,1.0,4.332849025726318,1.7484785318374634,2.0,8.109172821044922,-0.8505021929740906,1.0,8.501255989074707,2.242333173751831,2.0","1.0,0.0",0.31149535274545953,"4.182206153869629,-1.2718868255615234,1.0,4.313122272491455,1.7484931945800781,2.0,8.089456558227539,-0.8504730463027954,1.0,8.481527328491211,2.242363929748535,2.0",0
"4.182206153869629,-1.2718868255615234,1.0,4.313122272491455,1.7484931945800781,2.0,8.089456558227539,-0.8504730463027954,1.0,8.481527328491211,2.242363929748535,2.0","1.0,0.0",0.21306297186431233,"4.142358303070068,-1.2718849182128906,1.0,4.2732720375061035,1.74849534034729,2.0,8.04960823059082,-0.8504676222801208,1.0,8.44167709350586,2.2423696517944336,2.0",0
"4.142358303070068,-1.2718849182128906,1.0,4.2732720375061035,1.74849534034729,2.0,8.04960823059082,-0.8504676222801208,1.0,8.44167709350586,2.2423696517944336,2.0","1.0,0.0",0.2086362593852512,"4.082432746887207,-1.2718900442123413,1.0,4.213348388671875,1.7484902143478394,2.0,7.989683151245117,-0.8504751324653625,1.0,8.381753921508789,2.2423617839813232,2.0",0
"4.082432746887207,-1.2718900442123413,1.0,4.213348388671875,1.7484902143478394,2.0,7.989683151245117,-0.8504751324653625,1.0,8.381753921508789,2.2423617839813232,2.0","1.0,0.0",0.20715634164541186,"4.00246524810791,-1.2719043493270874,1.0,4.133389472961426,1.748475432395935,2.0,7.909716606140137,-0.8505009412765503,1.0,8.301795959472656,2.2423348426818848,2.0",0
"4.00246524810791,-1.2719043493270874,1.0,4.133389472961426,1.748475432395935,2.0,7.909716606140137,-0.8505009412765503,1.0,8.301795959472656,2.2423348426818848,2.0","1.0,0.0",0.20637269801928704,"3.9025211334228516,-1.2719266414642334,1.0,4.033459663391113,1.7484521865844727,2.0,7.809774398803711,-0.8505425453186035,1.0,8.201869010925293,2.2422914505004883,2.0",0
"3.9025211334228516,-1.2719266414642334,1.0,4.033459663391113,1.7484521865844727,2.0,7.809774398803711,-0.8505425453186035,1.0,8.201869010925293,2.2422914505004883,2.0","1.0,0.0",0.20583028143075777,"3.782707929611206,-1.2719192504882812,1.0,3.9136416912078857,1.7484594583511353,2.0,7.689960479736328,-0.8505284190177917,1.0,8.082050323486328,2.2423057556152344,2.0",0
"3.782707929611206,-1.2719192504882812,1.0,3.9136416912078857,1.7484594583511353,2.0,7.689960479736328,-0.8505284190177917,1.0,8.082050323486328,2.2423057556152344,2.0","1.0,0.0",0.20518650458662457,"3.6431801319122314,-1.2720063924789429,1.0,3.774186134338379,1.7483690977096558,2.0,7.550442695617676,-0.8507100939750671,1.0,7.942606449127197,2.242115020751953,2.0",0
"3.6431801319122314,-1.2720063924789429,1.0,3.774186134338379,1.7483690977096558,2.0,7.550442695617676,-0.8507100939750671,1.0,7.942606449127197,2.242115020751953,2.0","1.0,0.0",0.20447844884877453,"3.484128475189209,-1.271812081336975,1.0,3.614964485168457,1.7485660314559937,2.0,7.391359806060791,-0.8502824902534485,1.0,7.78334903717041,2.242560863494873,2.0",0
"3.484128475189209,-1.271812081336975,1.0,3.614964485168457,1.7485660314559937,2.0,7.391359806060791,-0.8502824902534485,1.0,7.78334903717041,2.242560863494873,2.0","1.0,0.0",0.20362758104578016,"3.305791139602661,-1.2724884748458862,1.0,3.4372966289520264,1.7478629350662231,2.0,7.213111877441406,-0.8518260717391968,1.0,7.6057868003845215,2.2409324645996094,2.0",0
"3.305791139602661,-1.2724884748458862,1.0,3.4372966289520264,1.7478629350662231,2.0,7.213111877441406,-0.8518260717391968,1.0,7.6057868003845215,2.2409324645996094,2.0","1.0,0.0",0.20319340210230408,"3.1090896129608154,-1.2721861600875854,1.0,3.240349769592285,1.7481778860092163,2.0,7.016377925872803,-0.8512246012687683,1.0,7.408802032470703,2.2415664196014404,2.0",0
